date,year,rank,anomaly_count,anomaly_types,severity_score,total_score,news_titles,news_sources
2022-02-28,2022,7,1,價格異常,4.5,6.5,Bitcoin jumps as Russia-Ukraine conflict continues and U.S. imposes further sanctions - CNBC | Cryptocurrency will not save Putin from sanctions - Bulletin of the Atomic Scientists | Experimenting with Bitcoin Blockchain on AWS - Amazon Web Services,Amazon Web Services | Bulletin of the Atomic Scientists | CNBC
2022-07-18,2022,8,1,價格異常,4.14,6.14,Bitcoin’s Intensive Energy Demands Are Sparking a Crypto Backlash - Governing | First Female UFC Fighter To Get Bitcoin Paycheck Through Bitwage - Bitcoin Magazine | These 10 states are leading America in creating a crypto economy - CNBC,Bitcoin Magazine | CNBC | Governing
2022-02-04,2022,9,1,價格異常,3.61,5.61,"Bitcoin jumps 10%, climbs past $40,000 for first time in 2 weeks - Al Jazeera | Crypto Has a Climate Problem - NRDC.org | Why are people calling Bitcoin a religion? - The Conversation",Al Jazeera | NRDC.org | The Conversation
2022-11-08,2022,10,1,價格異常,3.57,5.57,Feds announce seizure of $3.36 billion in bitcoin stolen a decade ago from illegal Silk Road marketplace—the second-largest crypto recovery - CNBC | How one Pennsylvania company is using waste coal to mine Bitcoin - The Allegheny Front | Stolen $3bn Bitcoin mystery ends with popcorn tin discovery - BBC,BBC | CNBC | The Allegheny Front
2023-03-13,2023,1,2,價格異常 + 情緒異常,4.42,8.42,"Bitcoin Prediction: Will Bitcoin Rise Even More in 2023? - U.S. News Money | Bitcoin Price: BTC/GBP - Revolut | If This Trend Continues, Bitcoin Could Grow for Years to Come - The Motley Fool",Revolut | The Motley Fool | U.S. News Money
2023-10-23,2023,2,1,價格異常,3.18,5.18,"Bitcoin mining has “very worrying” impacts on land and water, not only carbon - AGU Newsroom | The Environmental Footprint of Bitcoin Mining Across the Globe: Call for Urgent Action - AGU Publications | UN Study Reveals the Hidden Environmental Impacts of Bitcoin: Carbon is Not the Only Harmful By-product - United Nations University",AGU Newsroom | AGU Publications | United Nations University
2023-03-17,2023,3,1,價格異常,2.91,4.91,Bitcoin Mining Is Set to Turn Greener - Global X ETFs | Bitcoin Scored a Big Week as Banks Sold Off. Can It Last? - Barron's | Why the role of crypto is huge in the Ukraine war - The World Economic Forum,Barron's | Global X ETFs | The World Economic Forum
2023-02-15,2023,4,1,價格異常,2.89,4.89,Bitcoin (BTC) Jumps to Highest Since August as Regulatory Concern Ebbs - Bloomberg.com | Bitcoin’s Future Depends on a Handful of Mysterious Coders - WSJ | Let’s Talk About Bitcoin’s Price-to-Earnings Ratio - CoinDesk,Bloomberg.com | CoinDesk | WSJ
2023-11-09,2023,5,1,價格異常,2.81,4.81,"Bitcoin Depot CEO weighs in on new California law - paymentsdive.com | Bitcoin and stone money: Anglophone use of Yapese economic cultures, 1910-2020 - Cambridge University Press & Assessment | How are CBDCs different from cryptocurrencies and stablecoins? - The World Economic Forum",Cambridge University Press & Assessment | The World Economic Forum | paymentsdive.com
2023-01-20,2023,6,1,價格異常,2.31,4.31,JPMorgan CEO Jamie Dimon says that Bitcoin is a ‘hyped-up fraud’ and cryptocurrencies are a ‘waste of time'—but blockchain is a 'deployable' technology - Fortune | New Class Explores Technical And Economic Foundations Of Bitcoin - Texas A&M Stories | Opinion | Wonking Out: Give Me That Gold Time Religion (Published 2023) - The New York Times,Fortune | Texas A&M Stories | The New York Times
2023-08-17,2023,7,1,價格異常,2.28,4.28,August 2023: A Step Forward for Spot Bitcoin ETFs - Grayscale | Bitcoin drops to new two-month low as world markets sell off - Reuters | ‘Not a Bunch of Weirdos’: Why Mainstream Investors Buy Crypto - Harvard Business School,Grayscale | Harvard Business School | Reuters
2023-03-12,2023,8,1,價格異常,2.27,4.27,"Bitcoin Price: BTC/GBP - Revolut | Bitcoin jumps as much as 10% with crypto market topping $1 trillion as U.S. creates backstop for SVB depositors - CNBC | If This Trend Continues, Bitcoin Could Grow for Years to Come - The Motley Fool",CNBC | Revolut | The Motley Fool
2023-02-02,2023,9,1,價格異常,2.2,4.2,"Bitcoin briefly rises above $24,000, extending its new year rally amid a broader gain in tech stocks - CNBC | Bitcoin miner Core Scientific borrows $70 mln to replace bankruptcy lender - Reuters | Elon Musk's Tesla lost $140m on Bitcoin in 2022 - BBC",BBC | CNBC | Reuters
2023-11-15,2023,10,1,價格異常,2.01,4.01,"Bitcoin in physical, collectible form sold by Heritage - Coin World | Primer: Bitcoin, An Emerging Store of Value Asset - 21Shares | Trading the Ether/Bitcoin Correlation - CME Group",21Shares | CME Group | Coin World
2024-12-18,2024,1,2,VIX異常 + 價格異常,6.03,10.03,"El Salvador Made Bitcoin an Official Currency. Now It’s Backtracking for IMF Loan. - WSJ | El Salvador strikes $1.4bn IMF deal after scaling back Bitcoin policies - BBC | Powell says Fed cannot hold bitcoin, not seeking to change that - Reuters",BBC | Reuters | WSJ
2024-08-05,2024,2,2,VIX異常 + 價格異常,5.64,9.64,"Crypto selloff wipes out $367 billion in value as bitcoin, ether plunge - CNBC | Make Bitcoin great again – what Donald Trump’s backing of crypto could mean for the industry - The Conversation | Trump’s Dangerous Embrace of Bitcoin and the Crypto Bros - The New Yorker",CNBC | The Conversation | The New Yorker
2024-07-15,2024,3,2,價格異常 + 情緒異常,3.95,7.95,Bitcoin soars to two-week high after Trump attack - Reuters | City becomes first in U.S. to establish Bitcoin Office pilot program - Santa Monica Daily Press | Reflections On Bitcoin Culture - Bitcoin Magazine,Bitcoin Magazine | Reuters | Santa Monica Daily Press
2024-07-24,2024,4,2,VIX異常 + 價格異常,3.43,7.43,"Mt. Gox creditors to start receiving bitcoin and bitcoin cash from Bitstamp on Thursday - The Block | Trump raises more than $4 million in bitcoin, other digital coins as crypto support pays off - CNBC | Will China Unban Bitcoin, Creating A Huge Bitcoin Price Bump? - Forbes",CNBC | Forbes | The Block
2024-05-20,2024,5,1,價格異常,4.45,6.45,"CME planning spot bitcoin trading – report - ledgerinsights.com | Craig Wright Lied About Creating Bitcoin and Faked Evidence, Judge Rules - WIRED | Dismantling The Cash Flow Narrative: Real Estate Vs. Bitcoin - Bitcoin Magazine",Bitcoin Magazine | WIRED | ledgerinsights.com
2024-08-08,2024,6,1,價格異常,3.75,5.75,"Bitcoin's dizzying price movements make it a risky investment, say investing experts: 'It's pure, unadulterated speculation' - CNBC | In a rural Texas town, the constant hum of a bitcoin mine haunts residents - marketplace.org | What exactly is a strategic bitcoin reserve? - Atlantic Council",Atlantic Council | CNBC | marketplace.org
2024-11-11,2024,7,1,價格異常,3.15,5.15,"Bitcoin breaks another record, up 20% in a week - Axios | Bitcoin hits record high after Trump’s decisive win - Los Angeles Times | Bitcoin tops record $80,000 as Trump nears sweep of US Congress - BBC",Axios | BBC | Los Angeles Times
2024-03-20,2024,8,1,價格異常,2.98,4.98,"Bitcoin briefly slumps below $63,000 after topping a record $73,000 last week - CNBC | Greenpeace USA Report Reveals the Puppet Masters Behind Bitcoin’s Expansion - greenpeace.org | Why Bitcoin Will Take Over The World: Coinbase CEO Brian Armstrong - Hoover Institution",CNBC | Hoover Institution | greenpeace.org
2024-02-28,2024,9,1,價格異常,2.92,4.92,"Bitcoin hits $60,000 as rally snowballs - Reuters | Bitcoin: What is it and how does it work? - BBC | Why is Bitcoin Volatile? An Overview of Bitcoin Price Fluctuations - VanEck",BBC | Reuters | VanEck
2024-11-06,2024,10,1,價格異常,2.86,4.86,"Bitcoin sets a new all-time high on election night - Axios | Bitcoin surges 10% to a record above $76,000 as Trump victory heralds wider crypto adoption and weaker regulation - CNBC | Stocks and bitcoin soar after Trump's victory, while inflation worries rise; Dow surges 1,200 - PBS",Axios | CNBC | PBS
2025-04-03,2025,1,3,VIX異常 + 價格異常 + 情緒異常,7.7,13.7,"Bitcoin, broader crypto market slump as Trump unveils unprecedented tariff package - Fortune | Cryptocurrencies rise Friday, bucking broader market meltdown - CNBC | Warren Buffett Avoids Bitcoin, But Do You Know Berkshire Hathaway Owns Stake In A Company That Pitches BTC As 'Critical' Inflation Hedge - Yahoo Finance",CNBC | Fortune | Yahoo Finance
2025-04-10,2025,2,3,VIX異常 + 價格異常 + 情緒異常,6.56,12.56,"BCI Recovers More Than $35,000 in Stolen Bitcoin for Hamilton County Victim - Ohio Attorney General (.gov) | Bitcoin to hit $250,000 this year and Magnificent 7 to adopt stablecoins, Cardano founder predicts - CNBC | Conservative McDonald's shareholders push for Bitcoin treasury plan, but SEC says company can dismiss proposal - The Block",CNBC | Ohio Attorney General (.gov) | The Block
2025-04-04,2025,3,2,VIX異常 + 價格異常,7.07,11.07,"Cryptocurrencies rise Friday, bucking broader market meltdown - CNBC | Fidelity Rolls Out New Crypto IRA - 401k Specialist | Warren Buffett Avoids Bitcoin, But Do You Know Berkshire Hathaway Owns Stake In A Company That Pitches BTC As 'Critical' Inflation Hedge - Yahoo Finance",401k Specialist | CNBC | Yahoo Finance
2025-04-09,2025,4,1,價格異常,7.98,9.98,"BCI Recovers More Than $35,000 in Stolen Bitcoin for Hamilton County Victim - Ohio Attorney General (.gov) | Bitcoin to hit $250,000 this year and Magnificent 7 to adopt stablecoins, Cardano founder predicts - CNBC | Hot Topics in International Trade - April 2025 - Security for New Bitcoin Strategic Reserve - JD Supra",CNBC | JD Supra | Ohio Attorney General (.gov)
2025-10-10,2025,5,2,VIX異常 + 價格異常,4.46,8.46,'Long Live the King': Bitcoin Billionaire Arthur Hayes Predicts the BTC 4-Year Cycle Is Over - Yahoo Finance | Bitcoin ATMs: What to know about latest scheme to steal thousands from innocent victims - ABC7 San Francisco | Bucks County woman lured to Bitcoin ATM scam in latest scheme to steal money | Action News Investigation - 6abc Philadelphia,6abc Philadelphia | ABC7 San Francisco | Yahoo Finance
2025-11-04,2025,6,2,價格異常 + 情緒異常,4.17,8.17,"Billionaire Michael Saylor’s Strategy Keeps Buying Bitcoin — Adds 397 BTC for $45.6M - Yahoo Finance | Bitcoin falls below $100,000 for the first time since late June - CNBC | Spot ETFs Give Rise to Crypto Basis Trading - CME Group",CME Group | CNBC | Yahoo Finance
2025-05-08,2025,7,1,價格異常,5.04,7.04,"How Many Bitcoin Are Lost? - Ledger | Standard Chartered analyst apologizes for $120,000 bitcoin price call, says target 'may be too low' - CNBC | Two state bitcoin bills - Axios",Axios | CNBC | Ledger
2025-10-11,2025,8,1,情緒異常,3.7,5.7,"'Bitcoin is not an asset class': UK's biggest investment platform has a stark warning for investors - CNBC | Bitcoin extends decline to $104,782 as Trump escalates US-China trade war - Reuters | Square Bitcoin a 'big test' of BTC’s future as payments network with $300 million profit upside, says Mizuho - The Block",CNBC | Reuters | The Block
2025-03-03,2025,9,1,價格異常,3.53,5.53,"4 things to know about Trump's plan for a 'crypto strategic reserve' - NPR | Bitcoin tumbles 9%, reversing most of the rally from Trump's crypto reserve announcement - CNBC | El Salvador’s wild crypto experiment ends in failure - The Economist",CNBC | NPR | The Economist
2025-08-22,2025,10,1,價格異常,3.31,5.31,"Bitcoin To Hit $150K This Year, But Bear Market Will Follow: Fund Manager - Yahoo Finance | Starknet to enable bitcoin staking for network consensus alongside STRK - The Block | What Is a Bitcoin Reserve? - Ledger",Ledger | The Block | Yahoo Finance
